Département (Champ géographique),Code Commune (Champ géographique),Nom Commune (Champ géographique),Section (Références cadastrales),Bâtiment (Identification du local),N° voirie (Adresse du local),Indice de répétition (Adresse du local),Nature voie (Adresse du local),Nom voie (Adresse du local),N° MAJIC (Propriétaire(s) du local),N° SIREN (Propriétaire(s) du local),Forme juridique (Propriétaire(s) du local),Forme juridique abrégée (Propriétaire(s) du local),Dénomination (Propriétaire(s) du local),Adresse
59,350,LILLE,AB,B,42.0,,RUE,DU MAGASIN,PBBZV3,U19789971,9900,,UNITE DE SOUTIEN INFRASTRUCTURE DE LA DEFENSE,42 RUE DU MAGASIN
59,350,LILLE,AB,B,42.0,,RUE,DU MAGASIN,P99999,U23752501,7113,ETAT,ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT,42 RUE DU MAGASIN
59,350,LILLE,AB,A,86.0,,,FACADE DE L ESPLANADE,PBBZV3,U19789971,9900,,UNITE DE SOUTIEN INFRASTRUCTURE DE LA DEFENSE,86  FACADE DE L ESPLANADE
59,350,LILLE,AB,A,86.0,,,FACADE DE L ESPLANADE,P99999,U23752501,7113,ETAT,ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT,86  FACADE DE L ESPLANADE
59,350,LILLE,AB,A,9000.0,,AVENUE,ADOLPHE MAX,P9MBBC,444608442,5699,SA,ENEDIS,9000 AVENUE ADOLPHE MAX
59,350,LILLE,AB,A,9000.0,,AVENUE,ADOLPHE MAX,P998MW,444608442,5699,SA,ENEDIS,9000 AVENUE ADOLPHE MAX
59,350,LILLE,AB,A,71.0,,RUE,SAINT SEBASTIEN,PBHXDB,422818625,5499,SARL,SARL DU BOURG,71 RUE SAINT SEBASTIEN
59,350,LILLE,AB,C,30.0,,RUE,DU GUET,PBHRG6,529920753,6540,SCI,SCI CANFA,30 RUE DU GUET
59,350,LILLE,AB,E,42.0,,RUE,DE LA CENSE AUX BLES,PBH8G2,511725129,6540,SCI,SCI DU HAUT PUITS,42 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,E,42.0,,RUE,DE LA CENSE AUX BLES,PBB845,395189772,6540,SCI,SCI DU 114 RUE DE LA RUE DE CAMIERS,42 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,F,78.0,,RUE,DE LA CENSE AUX BLES,PBJQKN,818501447,6540,SCI,SCI VETERINAIRE DES QUAIS,78 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,G,97.0,,RUE,SAINT SEBASTIEN,PBCB4X,428106876,6540,SCI,SCI SEBASTIEN,97 RUE SAINT SEBASTIEN
59,350,LILLE,AB,G,95.0,,RUE,SAINT SEBASTIEN,PBCB4X,428106876,6540,SCI,SCI SEBASTIEN,95 RUE SAINT SEBASTIEN
59,350,LILLE,AB,G,99.0,,RUE,SAINT SEBASTIEN,PBJS8B,821745502,6599,SC,SC DU 97 SAINT SEBASTIEN,99 RUE SAINT SEBASTIEN
59,350,LILLE,AB,G,43.0,,QUAI,DES CHEVILLARDS,PBB9XD,420248627,6540,SCI,DE RAISSAC BARDYN,43 QUAI DES CHEVILLARDS
59,350,LILLE,AB,G,77.0,,RUE,SAINT SEBASTIEN,PBCB4X,428106876,6540,SCI,SCI SEBASTIEN,77 RUE SAINT SEBASTIEN
59,350,LILLE,AB,G,79.0,,RUE,SAINT SEBASTIEN,PBCB4X,428106876,6540,SCI,SCI SEBASTIEN,79 RUE SAINT SEBASTIEN
59,350,LILLE,AB,G,69.0,,RUE,SAINT SEBASTIEN,PBCB4X,428106876,6540,SCI,SCI SEBASTIEN,69 RUE SAINT SEBASTIEN
59,350,LILLE,AB,B,85.0,,RUE,DE LA CENSE AUX BLES,PBH7LC,791886500,6540,SCI,REVE IMMO 1,85 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,C,109.0,,RUE,DE LA CENSE AUX BLES,PBCLX3,U21510492,9110,SYCO,SYNDICAT DES COPROPRIETAIRES D UN IMMEUBLE SIS A LILLE NORD,109 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,D,105.0,,QUAI,DES CHEVILLARDS,PBKDQ2,844422915,6540,SCI,IMMO CHEVILLARDS,105 QUAI DES CHEVILLARDS
59,350,LILLE,AB,D,105.0,,QUAI,DES CHEVILLARDS,PBJ4LZ,831629555,6540,SCI,YIDDISHLAND,105 QUAI DES CHEVILLARDS
59,350,LILLE,AB,H,92.0,,RUE,MOULIN DU BECQUET,PBCQBH,U21552222,9900,,SYNDICAT DES COPROPRIETAIRES DU 92 RUE DU MOULIN DE BECQUET,92 RUE MOULIN DU BECQUET
59,350,LILLE,AB,A,237.0,,RUE,SAINT SEBASTIEN,PBCSQZ,395313968,6540,SCI,SCI SARATOGA SPRINGS,237 RUE SAINT SEBASTIEN
59,350,LILLE,AB,A,210.0,,RUE,DE LA CENSE AUX BLES,PBHQ2V,530607456,6540,SCI,SCI KING,210 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,A,220.0,,RUE,DE LA CENSE AUX BLES,PBHTRZ,535106769,6540,SCI,IMMOBILIERE DE LA CENSE AU BLE,220 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,A,235.0,,RUE,DE LA CENSE AUX BLES,PBH7LC,791886500,6540,SCI,REVE IMMO 1,235 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,A,149.0,,RUE,DE LA CENSE AUX BLES,PBCJFN,442588703,6540,SCI,MOCA,149 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,B,219.0,,RUE,DE LA CENSE AUX BLES,PBJXTF,825402332,6540,SCI,CT2712,219 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,D,181.0,,RUE,DE LA CENSE AUX BLES,PBJMWF,811020684,6540,SCI,SCI BAPTMAN,181 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,D,181.0,,RUE,DE LA CENSE AUX BLES,PBFGMQ,783713498,9230,ASS,ASSOCIATION DIOCESAINE LILLE,181 RUE DE LA CENSE AUX BLES
59,350,LILLE,AB,F,100.0,,QUAI,DES CHEVILLARDS,PBCDXP,U21566770,9900,,SYNDICAT DES COPROP DE LA RES QUAI DE BRUGES,100 QUAI DES CHEVILLARDS
59,350,LILLE,AB,C,42.0,,RUE,BASTION SAINT ANDRE,PBCJ5T,449840685,6540,SCI,FRANCOIS DEFREMONT,42 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,C,42.0,,RUE,BASTION SAINT ANDRE,PBH7LC,791886500,6540,SCI,REVE IMMO 1,42 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,E,140.0,,RUE,DU GUET,PBH7LC,791886500,6540,SCI,REVE IMMO 1,140 RUE DU GUET
59,350,LILLE,AB,B,7.0,,RUE,MOULIN DU BECQUET,PBB9MB,300347333,5710,SAS,FONCIA LILLE,7 RUE MOULIN DU BECQUET
59,350,LILLE,AB,A,33.0,,RUE,BASTION SAINT ANDRE,PBCMMZ,481166189,6540,SCI,CASE A LILE,33 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,A,33.0,,RUE,BASTION SAINT ANDRE,PBCML3,477809123,6599,SC,LAUDE N,33 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,B,33.0,,RUE,BASTION SAINT ANDRE,PBCMMC,481173276,6540,SCI,MAGDA,33 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,B,33.0,,RUE,BASTION SAINT ANDRE,PBCSHZ,U21456568,9110,SYCO,SYNDICAT DES COPROPRIETAIRES DE LA RESIDENCE LES JARDINS DES,33 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,C,33.0,,RUE,BASTION SAINT ANDRE,PBCLT4,477730972,6540,SCI,ISIS,33 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,A,235.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,235 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,B,229.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,229 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,C,251.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,251 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,D,195.0,A,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,195 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,D,195.0,B,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,195 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,E,195.0,C,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,195 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,E,195.0,D,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,195 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,F,99.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,99 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,F,119.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,119 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,F,129.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,129 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,F,149.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,149 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,F,155.0,,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,155 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,F,165.0,A,RUE,BASTION SAINT ANDRE,PBCVVK,413782509,4140,EPIC,LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI,165 RUE BASTION SAINT ANDRE
59,350,LILLE,AB,D,2.0,,QUAI,DES CHEVILLARDS,PBCSLK,498188481,6540,SCI,J C D-VIPYRL,2 QUAI DES CHEVILLARDS
59,350,LILLE,AH,A,16.0,,RUE,DU BALLON,PBCS3W,215903501,7210,COM,COMMUNE DE LILLE,16 RUE DU BALLON
59,350,LILLE,AK,A,44.0,,RUE,DU CHATEAU,PBB9PC,417991353,6540,SCI,SCI DANAE,44 RUE DU CHATEAU
59,350,LILLE,AK,A,6.0,,RUE,BLANCHE,PBJWC7,822067104,6540,SCI,MELLEO,6 RUE BLANCHE
59,350,LILLE,AK,B,14.0,B,RUE,BLANCHE,P9MBBC,444608442,5699,SA,ENEDIS,14 RUE BLANCHE
59,350,LILLE,AK,B,14.0,B,RUE,BLANCHE,P998MW,444608442,5699,SA,ENEDIS,14 RUE BLANCHE
59,350,LILLE,AK,A,90.0,,RUE,DU FBG DE ROUBAIX,PBHFKH,513037069,6540,SCI,PERSANE,90 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,98.0,,RUE,DU FBG DE ROUBAIX,PBJ3V5,829945625,6540,SCI,MLMSP,98 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,100.0,,RUE,DU FBG DE ROUBAIX,PBJ3V5,829945625,6540,SCI,MLMSP,100 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,102.0,,RUE,DU FBG DE ROUBAIX,PBHQLH,519674162,5499,SARL,ETIENNE CHEVALIER AVOCAT,102 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,106.0,,RUE,DU FBG DE ROUBAIX,PBH6JK,319870929,9220,ASS,SOLIHA-SOLIDAIRES POUR L HABITAT-METROPOLE NORD,106 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,108.0,,RUE,DU FBG DE ROUBAIX,PBCR99,502640477,6540,SCI,CEGIDES,108 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,112.0,,RUE,DU FBG DE ROUBAIX,PBB756,403525090,6540,SCI,DU 112,112 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,12.0,,RUE,SAINT FIRMIN,PBCPPM,491290359,6540,SCI,SCI ALLIANCE,12 RUE SAINT FIRMIN
59,350,LILLE,AK,A,28.0,,RUE,SAINT FIRMIN,PBHQLB,525054185,6540,SCI,SOCIETE CIVILE IMMOBILIERE FIRMIN,28 RUE SAINT FIRMIN
59,350,LILLE,AK,A,35.0,,RUE,BLANCHE,PBBXXK,U20985070,9900,,STE SERGIC,35 RUE BLANCHE
59,350,LILLE,AK,A,9.0,B,RUE,BLANCHE,P9MBBC,444608442,5699,SA,ENEDIS,9 RUE BLANCHE
59,350,LILLE,AK,A,9.0,B,RUE,BLANCHE,P998MW,444608442,5699,SA,ENEDIS,9 RUE BLANCHE
59,350,LILLE,AK,A,63.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,63 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,65.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,65 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,67.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,67 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,69.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,69 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,73.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,73 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,75.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,75 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,85.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,85 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,87.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,87 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,89.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,89 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,93.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,93 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,95.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,95 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,117.0,,RUE,DU FBG DE ROUBAIX,PBJGLX,803746585,6540,SCI,SCI FAUBOURG VANTROYEN,117 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,119.0,,RUE,DU FBG DE ROUBAIX,PBHC7P,510835861,6540,SCI,119 RUE DU FAUBOURG DE ROUBAIX,119 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,PK,1.0,,AVENUE,DE MUY,PBCJ3L,411027014,6540,SCI,C A D,1 AVENUE DE MUY
59,350,LILLE,AK,A,86.0,,AVENUE,DE MUY,PBH8SD,438321325,6540,SCI,MORMAT,86 AVENUE DE MUY
59,350,LILLE,AK,A,131.0,,RUE,DU FBG DE ROUBAIX,PBB7HR,400287629,6540,SCI,ROUSSEAU,131 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,C,62.0,,RUE,PASCAL,PBJQHG,388965972,5599,SA,PROCIVIS SERVICES,62 RUE PASCAL
59,350,LILLE,AK,C,16.0,,RUE,BLANCHE,PBB4H3,352333058,6599,SC,ROFIMO,16 RUE BLANCHE
59,350,LILLE,AK,C,16.0,,RUE,BLANCHE,PBB2RK,U21019336,6540,SCI,SCI CRIVAL,16 RUE BLANCHE
59,350,LILLE,AK,C,16.0,,RUE,BLANCHE,PBHVML,U14474311,9900,,ALEO CLAIR SYNDIC,16 RUE BLANCHE
59,350,LILLE,AK,A,71.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,71 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,A,77.0,,RUE,DU FBG DE ROUBAIX,PBB5GC,378224786,5599,SA,SOCIETE PUBLIQUE LOCALE EURALILLE,77 RUE DU FBG DE ROUBAIX
59,350,LILLE,AK,F,16.0,,RUE,BLANCHE,PBHVML,U14474311,9900,,ALEO CLAIR SYNDIC,16 RUE BLANCHE
59,350,LILLE,AK,B,16.0,,RUE,BLANCHE,PBHVML,U14474311,9900,,ALEO CLAIR SYNDIC,16 RUE BLANCHE
59,350,LILLE,AL,A,12.0,,RUE,PASCAL,PBCX63,422763029,6540,SCI,SCI JGT,12 RUE PASCAL
59,350,LILLE,AL,B,12.0,,RUE,PASCAL,PBCX63,422763029,6540,SCI,SCI JGT,12 RUE PASCAL
59,350,LILLE,AL,B,10.0,B,RUE,PASCAL,PBCMMR,395334097,5499,SARL,OCTOPUS,10 RUE PASCAL
59,350,LILLE,AL,A,2.0,B,RUE,PASCAL,PBJSCN,491103859,6540,SCI,SCI SAINT URSMER,2 RUE PASCAL
59,350,LILLE,AL,A,71.0,,RUE,SAINT GABRIEL,PBBJ5J,437579089,6540,SCI,MIRLAND,71 RUE SAINT GABRIEL
59,350,LILLE,AL,A,79.0,,RUE,SAINT GABRIEL,PBB527,U21069246,6540,SCI,SCI 79 SAINT GABRIEL,79 RUE SAINT GABRIEL
59,350,LILLE,AL,A,81.0,,RUE,SAINT GABRIEL,PBB527,U21069246,6540,SCI,SCI 79 SAINT GABRIEL,81 RUE SAINT GABRIEL
59,350,LILLE,AL,B,79.0,,RUE,SAINT GABRIEL,PBB527,U21069246,6540,SCI,SCI 79 SAINT GABRIEL,79 RUE SAINT GABRIEL
59,350,LILLE,AL,A,87.0,,RUE,SAINT GABRIEL,PBH99P,404745606,5660,SA,SOLIHA BATISSEURS DE LOGEMENTS DINSERTION HAUTS DE FRANCE,87 RUE SAINT GABRIEL
59,350,LILLE,AL,A,87.0,,RUE,SAINT GABRIEL,PBH6JK,319870929,9220,ASS,SOLIHA-SOLIDAIRES POUR L HABITAT-METROPOLE NORD,87 RUE SAINT GABRIEL
59,350,LILLE,AL,A,54.0,,RUE,BLANCHE,PBHM2R,528076664,6540,SCI,LA BLANCHE,54 RUE BLANCHE
59,350,LILLE,AL,A,61.0,,RUE,BLANCHE,PBCHXT,445128044,6540,SCI,SAINTE ALDEGONDE,61 RUE BLANCHE
59,350,LILLE,AL,A,1.0,B,RUE,SAINT FIRMIN,PBJF78,801245051,6540,SCI,SCI SAINT FIRMIN,1 RUE SAINT FIRMIN
59,350,LILLE,AL,A,1.0,,RUE,SAINT FIRMIN,PBH3GG,525312948,6540,SCI,SCI TEL 2C2S,1 RUE SAINT FIRMIN
59,350,LILLE,AL,A,116.0,,RUE,DU FBG DE ROUBAIX,PBB2PK,341224970,6540,SCI,ST MAURICE DES CHAMPS,116 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,6.0,,RUE,BOBILLOT,PBB7GJ,U18944289,6540,SCI,SCI IMMOSEPT,6 RUE BOBILLOT
59,350,LILLE,AL,A,130.0,,RUE,DU FBG DE ROUBAIX,PBCF58,439338096,6540,SCI,OULAPA,130 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,132.0,,RUE,DU FBG DE ROUBAIX,PBCQWV,494709215,6540,SCI,SCI KARL ET KRIS 132 FAUBOURG DE ROUBAIX,132 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,134.0,,RUE,DU FBG DE ROUBAIX,PBCQKR,489144949,6599,SC,LES MACAREUX,134 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,136.0,,RUE,DU FBG DE ROUBAIX,PBKF9N,850013970,6540,SCI,ANAVIDA,136 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,2.0,,RUE,PARRAYON,PBCQTW,495208894,6540,SCI,CHRISYLILLE,2 RUE PARRAYON
59,350,LILLE,AL,A,4.0,,RUE,PARRAYON,PBH6JK,319870929,9220,ASS,SOLIHA-SOLIDAIRES POUR L HABITAT-METROPOLE NORD,4 RUE PARRAYON
59,350,LILLE,AL,A,4.0,,RUE,PARRAYON,PBJ36R,404745606,5660,SA,SOLIHA BATISSEURS DE LOGEMENTS DINSERTION HAUTS DE FRANCE,4 RUE PARRAYON
59,350,LILLE,AL,A,16.0,,RUE,PARRAYON,PBJL5J,523932499,6540,SCI,S C I  MARAGOZ,16 RUE PARRAYON
59,350,LILLE,AL,A,26.0,,RUE,PARRAYON,PBJJ58,245900410,7344,,METROPOLE EUROPEENNE DE LILLE,26 RUE PARRAYON
59,350,LILLE,AL,A,26.0,,RUE,PARRAYON,PBH5GZ,404745606,5660,SA,SOLIHA BATISSEURS DE LOGEMENTS DINSERTION HAUTS DE FRANCE,26 RUE PARRAYON
59,350,LILLE,AL,A,140.0,,RUE,DU FBG DE ROUBAIX,PBB75F,404328866,6540,SCI,LCP,140 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,150.0,,RUE,DU FBG DE ROUBAIX,PBBZXH,337599393,6540,SCI,DU MUY,150 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,158.0,,RUE,DU FBG DE ROUBAIX,PBB23N,344136502,6540,SCI,POUILLY,158 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,9933.0,,RUE,DU FBG DE ROUBAIX,PBCS3W,215903501,7210,COM,COMMUNE DE LILLE,9933 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,119.0,,RUE,SAINT GABRIEL,PBCS3W,215903501,7210,COM,COMMUNE DE LILLE,119 RUE SAINT GABRIEL
59,350,LILLE,AL,A,95.0,,RUE,SAINT GABRIEL,PBCS3W,215903501,7210,COM,COMMUNE DE LILLE,95 RUE SAINT GABRIEL
59,350,LILLE,AL,A,95.0,B,RUE,SAINT GABRIEL,PBCS3W,215903501,7210,COM,COMMUNE DE LILLE,95 RUE SAINT GABRIEL
59,350,LILLE,AL,A,89.0,,RUE,SAINT GABRIEL,PBH6JK,319870929,9220,ASS,SOLIHA-SOLIDAIRES POUR L HABITAT-METROPOLE NORD,89 RUE SAINT GABRIEL
59,350,LILLE,AL,A,122.0,,RUE,DU FBG DE ROUBAIX,PBHJ3X,520589995,6540,SCI,SCI AXELLE,122 RUE DU FBG DE ROUBAIX
59,350,LILLE,AL,A,7.0,,RUE,SAINT FIRMIN,PBJJVS,807805114,5499,SARL,PACA COMPAGNIE,7 RUE SAINT FIRMIN
59,350,LILLE,AL,01,4.0,B,RUE,MEHL,PBCRRD,500967682,6540,SCI,JFD,4 RUE MEHL
59,350,LILLE,AL,01,4.0,B,RUE,MEHL,PBBPC8,414093856,6540,SCI,A V C,4 RUE MEHL
59,350,LILLE,AL,A,44.0,,RUE,BLANCHE,PBKJN2,877491019,6540,SCI,FONCIERE SAINT MAURICE,44 RUE BLANCHE
59,350,LILLE,AL,A,97.0,,RUE,SAINT GABRIEL,PBB629,398215780,6540,SCI,CORELO,97 RUE SAINT GABRIEL
59,350,LILLE,AL,A,11.0,,RUE,PARRAYON,PBHJPX,413087560,9220,ASS,ASS FONCIERE DE LILLE ET BANLIEUE,11 RUE PARRAYON
59,350,LILLE,AL,C,53.0,,RUE,BLANCHE,PBJ3VX,830574281,6540,SCI,SCI LILLE BLANCHEMAISON,53 RUE BLANCHE
59,350,LILLE,AL,C,10.0,T,RUE,PASCAL,PBCMMR,395334097,5499,SARL,OCTOPUS,10 RUE PASCAL
59,350,LILLE,AL,A,10.0,,RUE,PASCAL,PBCGM2,395334097,5499,SARL,OCTOPUS,10 RUE PASCAL
59,350,LILLE,AM,A,171.0,,RUE,DU FBG DE ROUBAIX,PBC934,453707358,6599,SC,SCI SAPHIA,171 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,165.0,,RUE,DU FBG DE ROUBAIX,PBCP45,491336251,6540,SCI,SCI E P,165 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,5.0,,COURS,MULOT 163 B R FG ROUBAIX,PBKKKZ,878096031,6540,SCI,SCI BAFOU,5 COURS MULOT 163 B R FG ROUBAIX
59,350,LILLE,AM,A,7.0,,COURS,MULOT 163 B R FG ROUBAIX,PBHH6X,517568549,6540,SCI,OMINVEST,7 COURS MULOT 163 B R FG ROUBAIX
59,350,LILLE,AM,A,10.0,,COURS,MULOT 163 B R FG ROUBAIX,PBJSL6,820863413,6540,SCI,SCI FAUBOURG DE ROUBAIX,10 COURS MULOT 163 B R FG ROUBAIX
59,350,LILLE,AM,A,11.0,,COURS,MULOT 163 B R FG ROUBAIX,PBJSL6,820863413,6540,SCI,SCI FAUBOURG DE ROUBAIX,11 COURS MULOT 163 B R FG ROUBAIX
59,350,LILLE,AM,A,161.0,,RUE,DU FBG DE ROUBAIX,PBJSL6,820863413,6540,SCI,SCI FAUBOURG DE ROUBAIX,161 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,151.0,,RUE,DU FBG DE ROUBAIX,PBCFLJ,437927650,6540,SCI,SCI FIL,151 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,147.0,,RUE,DU FBG DE ROUBAIX,PBHW3Q,538489238,6540,SCI,SAINTE WAUDRU,147 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,GA,147.0,,RUE,DU FBG DE ROUBAIX,PBHW3Q,538489238,6540,SCI,SAINTE WAUDRU,147 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,145.0,,RUE,DU FBG DE ROUBAIX,PBJMLK,485176077,6540,SCI,H DE B,145 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,145.0,,RUE,DU FBG DE ROUBAIX,PBJZ9P,830730545,6540,SCI,ALMS IMMOBILIER,145 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,5.0,,RUE,DELCROIX,PBJ7DL,834690620,5499,SARL,KADOR,5 RUE DELCROIX
59,350,LILLE,AM,A,139.0,,RUE,DU FBG DE ROUBAIX,PBCLWB,479903429,6540,SCI,LILLE ETOILE,139 RUE DU FBG DE ROUBAIX
59,350,LILLE,AM,A,2.0,B,RUE,DE LA MADELEINE,PBCLWB,479903429,6540,SCI,LILLE ETOILE,2 RUE DE LA MADELEINE
59,350,LILLE,AM,A,1.0,,RUE,DE LA MADELEINE,PBBWL2,U21001997,9900,,DE L IMMEUBLE SIS 1 1B 1T RUE DE LA MADELEINE,1 RUE DE LA MADELEINE
